benchmark,time(s),result
amba10b4unrealn,7200,timeout
amba10b4unrealy,7200,timeout
amba10b5n,7200,timeout
amba10b5y,7200,timeout
amba10c4unrealn,7200,timeout
amba10c4unrealy,7200,timeout
amba10c5n,7200,timeout
amba10c5y,7200,timeout
amba10f36unrealn,7200,timeout
amba10f36unrealy,7200,timeout
amba10f37n,7200,timeout
amba10f37y,7201,timeout
amba2b8unrealn,7201,timeout
amba2b8unrealy,383,error
amba2b9n,2163,error
amba2b9y,1441,error
amba2c6unrealn,115,error
amba2c6unrealy,7209,timeout
amba2c7n,7215,timeout
amba2c7y,205,error
amba2f8unrealn,7206,timeout
amba2f8unrealy,7204,timeout
amba2f9n,7204,timeout
amba2f9y,7206,timeout
amba3b4unrealn,7200,timeout
amba3b4unrealy,7200,timeout
amba3b5n,7200,timeout
amba3b5y,7200,timeout
amba3c4unrealn,7200,timeout
