benchmark,time(s),result
pec_adder_3_bit_6_0,8,unsat
pec_adder_3_bit_6_10,12,unsat
pec_adder_3_bit_6_11,6,unsat
pec_adder_3_bit_6_12,13,unsat
pec_adder_3_bit_6_13,13,unsat
pec_adder_3_bit_6_14,13,unsat
pec_adder_3_bit_6_15,16,unsat
pec_adder_3_bit_6_16,14,unsat
pec_adder_3_bit_6_17,12,unsat
pec_adder_3_bit_6_18,1284,sat
pec_adder_3_bit_6_19,8,unsat
pec_adder_3_bit_6_1,69,sat
pec_adder_3_bit_6_20,12,unsat
pec_adder_3_bit_6_21,32,sat
pec_adder_3_bit_6_22,9,unsat
pec_adder_3_bit_6_23,867,sat
pec_adder_3_bit_6_24,17,unsat
pec_adder_3_bit_6_25,189,sat
pec_adder_3_bit_6_26,10,unsat
pec_adder_3_bit_6_27,19,unsat
pec_adder_3_bit_6_28,8,unsat
pec_adder_3_bit_6_29,55,sat
pec_adder_3_bit_6_2,9,unsat
pec_adder_3_bit_6_30,14,unsat
pec_adder_3_bit_6_31,10,unsat
pec_adder_3_bit_6_32,34,sat
pec_adder_3_bit_6_33,40,sat
pec_adder_3_bit_6_34,7,unsat
pec_adder_3_bit_6_35,49,sat
pec_adder_3_bit_6_36,14,unsat
pec_adder_3_bit_6_37,9,unsat
pec_adder_3_bit_6_38,10,unsat
pec_adder_3_bit_6_39,7,unsat
pec_adder_3_bit_6_3,14,unsat
pec_adder_3_bit_6_40,20,unsat
pec_adder_3_bit_6_41,251,sat
pec_adder_3_bit_6_42,10,unsat
pec_adder_3_bit_6_43,16,unsat
pec_adder_3_bit_6_44,10,unsat
pec_adder_3_bit_6_45,150,sat
pec_adder_3_bit_6_46,9,unsat
pec_adder_3_bit_6_47,13,unsat
pec_adder_3_bit_6_48,19,unsat
pec_adder_3_bit_6_49,13,unsat
pec_adder_3_bit_6_4,25,unsat
pec_adder_3_bit_6_50,17,unsat
pec_adder_3_bit_6_51,2869,sat
pec_adder_3_bit_6_52,12,unsat
pec_adder_3_bit_6_53,17,unsat
pec_adder_3_bit_6_54,11,unsat
pec_adder_3_bit_6_55,10,unsat
pec_adder_3_bit_6_56,3816,sat
pec_adder_3_bit_6_57,8,unsat
pec_adder_3_bit_6_58,7,unsat
pec_adder_3_bit_6_59,44,sat
pec_adder_3_bit_6_5,10,unsat
pec_adder_3_bit_6_60,19,unsat
pec_adder_3_bit_6_61,11,unsat
pec_adder_3_bit_6_62,395,sat
pec_adder_3_bit_6_63,8,unsat
pec_adder_3_bit_6_64,16,unsat
pec_adder_3_bit_6_65,14,unsat
pec_adder_3_bit_6_66,6,unsat
pec_adder_3_bit_6_67,27,sat
pec_adder_3_bit_6_68,9,unsat
pec_adder_3_bit_6_69,9,unsat
pec_adder_3_bit_6_6,11,unsat
pec_adder_3_bit_6_70,11,unsat
pec_adder_3_bit_6_71,42,sat
pec_adder_3_bit_6_72,9,unsat
pec_adder_3_bit_6_73,81,sat
pec_adder_3_bit_6_74,7,unsat
pec_adder_3_bit_6_75,15,unsat
pec_adder_3_bit_6_76,8,unsat
pec_adder_3_bit_6_77,16,unsat
pec_adder_3_bit_6_78,13,sat
pec_adder_3_bit_6_79,13,unsat
pec_adder_3_bit_6_7,9,unsat
pec_adder_3_bit_6_80,102,sat
pec_adder_3_bit_6_81,13,unsat
pec_adder_3_bit_6_82,43,sat
pec_adder_3_bit_6_83,11,unsat
pec_adder_3_bit_6_84,8,unsat
pec_adder_3_bit_6_85,7,unsat
pec_adder_3_bit_6_86,16,unsat
pec_adder_3_bit_6_87,13,unsat
pec_adder_3_bit_6_88,15,unsat
pec_adder_3_bit_6_89,53,sat
pec_adder_3_bit_6_8,8,unsat
pec_adder_3_bit_6_90,20,unsat
pec_adder_3_bit_6_91,9,unsat
pec_adder_3_bit_6_92,16,unsat
pec_adder_3_bit_6_93,14,unsat
pec_adder_3_bit_6_94,10,unsat
pec_adder_3_bit_6_95,68,sat
pec_adder_3_bit_6_96,8,unsat
pec_adder_3_bit_6_97,13,unsat
pec_adder_3_bit_6_98,53,sat
pec_adder_3_bit_6_99,191,sat
pec_adder_3_bit_6_9,13,unsat
