benchmark,time(s),result
pec_bit_cell_arbiter_6_109,79,unsat
pec_bit_cell_arbiter_6_111,161,unsat
pec_bit_cell_arbiter_6_116,46,unsat
pec_bit_cell_arbiter_6_144,31,unsat
pec_bit_cell_arbiter_6_145,54,unsat
pec_bit_cell_arbiter_6_150,7200,timeout
pec_bit_cell_arbiter_6_153,90,unsat
pec_bit_cell_arbiter_6_195,106,unsat
pec_bit_cell_arbiter_6_201,32,unsat
pec_bit_cell_arbiter_6_208,65,unsat
pec_bit_cell_arbiter_6_218,217,unsat
pec_bit_cell_arbiter_6_22,78,unsat
pec_bit_cell_arbiter_6_238,28,unsat
pec_bit_cell_arbiter_6_250,65,unsat
pec_bit_cell_arbiter_6_268,55,unsat
pec_bit_cell_arbiter_6_271,39,unsat
pec_bit_cell_arbiter_6_272,65,unsat
pec_bit_cell_arbiter_6_28,80,unsat
pec_bit_cell_arbiter_6_290,64,unsat
pec_bit_cell_arbiter_6_297,37,unsat
pec_bit_cell_arbiter_6_299,25,unsat
pec_bit_cell_arbiter_6_319,201,unsat
pec_bit_cell_arbiter_6_329,83,unsat
pec_bit_cell_arbiter_6_353,36,unsat
pec_bit_cell_arbiter_6_357,53,unsat
pec_bit_cell_arbiter_6_361,122,unsat
pec_bit_cell_arbiter_6_368,64,unsat
pec_bit_cell_arbiter_6_36,20,unsat
pec_bit_cell_arbiter_6_372,46,unsat
pec_bit_cell_arbiter_6_379,198,unsat
pec_bit_cell_arbiter_6_414,17,unsat
pec_bit_cell_arbiter_6_415,44,unsat
pec_bit_cell_arbiter_6_420,333,unsat
pec_bit_cell_arbiter_6_432,61,unsat
pec_bit_cell_arbiter_6_442,86,unsat
pec_bit_cell_arbiter_6_444,106,unsat
pec_bit_cell_arbiter_6_455,1532,unsat
pec_bit_cell_arbiter_6_457,94,unsat
pec_bit_cell_arbiter_6_470,40,unsat
pec_bit_cell_arbiter_6_472,35,unsat
pec_bit_cell_arbiter_6_474,28,unsat
pec_bit_cell_arbiter_6_476,50,unsat
pec_bit_cell_arbiter_6_482,22,unsat
pec_bit_cell_arbiter_6_484,41,unsat
pec_bit_cell_arbiter_6_485,114,unsat
pec_bit_cell_arbiter_6_510,36,unsat
pec_bit_cell_arbiter_6_512,66,unsat
pec_bit_cell_arbiter_6_517,23,unsat
pec_bit_cell_arbiter_6_518,79,unsat
pec_bit_cell_arbiter_6_523,24,unsat
pec_bit_cell_arbiter_6_534,45,unsat
pec_bit_cell_arbiter_6_553,87,unsat
pec_bit_cell_arbiter_6_560,64,unsat
pec_bit_cell_arbiter_6_583,32,unsat
pec_bit_cell_arbiter_6_584,71,unsat
pec_bit_cell_arbiter_6_591,116,unsat
pec_bit_cell_arbiter_6_594,79,unsat
pec_bit_cell_arbiter_6_614,7201,timeout
pec_bit_cell_arbiter_6_615,43,unsat
pec_bit_cell_arbiter_6_626,22,unsat
pec_bit_cell_arbiter_6_635,35,unsat
pec_bit_cell_arbiter_6_653,76,unsat
pec_bit_cell_arbiter_6_663,7201,timeout
pec_bit_cell_arbiter_6_664,140,unsat
pec_bit_cell_arbiter_6_67,94,unsat
pec_bit_cell_arbiter_6_683,50,unsat
pec_bit_cell_arbiter_6_692,144,unsat
pec_bit_cell_arbiter_6_704,146,unsat
pec_bit_cell_arbiter_6_714,23,unsat
pec_bit_cell_arbiter_6_739,62,unsat
pec_bit_cell_arbiter_6_750,82,unsat
pec_bit_cell_arbiter_6_758,59,unsat
pec_bit_cell_arbiter_6_75,25,unsat
pec_bit_cell_arbiter_6_761,50,unsat
pec_bit_cell_arbiter_6_778,28,unsat
pec_bit_cell_arbiter_6_795,17,unsat
pec_bit_cell_arbiter_6_809,40,unsat
pec_bit_cell_arbiter_6_816,65,unsat
pec_bit_cell_arbiter_6_818,59,unsat
pec_bit_cell_arbiter_6_819,116,unsat
pec_bit_cell_arbiter_6_825,58,unsat
pec_bit_cell_arbiter_6_82,58,unsat
pec_bit_cell_arbiter_6_835,37,unsat
pec_bit_cell_arbiter_6_838,43,unsat
pec_bit_cell_arbiter_6_842,131,unsat
pec_bit_cell_arbiter_6_854,26,unsat
pec_bit_cell_arbiter_6_871,127,unsat
pec_bit_cell_arbiter_6_877,78,unsat
pec_bit_cell_arbiter_6_890,130,unsat
pec_bit_cell_arbiter_6_900,32,unsat
pec_bit_cell_arbiter_6_905,89,unsat
pec_bit_cell_arbiter_6_906,33,unsat
pec_bit_cell_arbiter_6_909,64,unsat
pec_bit_cell_arbiter_6_917,15,unsat
pec_bit_cell_arbiter_6_948,7200,timeout
pec_bit_cell_arbiter_6_950,75,unsat
pec_bit_cell_arbiter_6_95,50,unsat
pec_bit_cell_arbiter_6_967,55,unsat
pec_bit_cell_arbiter_6_994,60,unsat
pec_bit_cell_arbiter_6_998,139,unsat
