benchmark,time(s),result
pec_look_ahead_arbiter_6_100,212,unsat
pec_look_ahead_arbiter_6_103,1138,unsat
pec_look_ahead_arbiter_6_113,407,unsat
pec_look_ahead_arbiter_6_126,1578,unsat
pec_look_ahead_arbiter_6_129,587,unsat
pec_look_ahead_arbiter_6_165,477,unsat
pec_look_ahead_arbiter_6_178,336,unsat
pec_look_ahead_arbiter_6_182,498,unsat
pec_look_ahead_arbiter_6_191,2552,unsat
pec_look_ahead_arbiter_6_215,423,unsat
pec_look_ahead_arbiter_6_233,219,unsat
pec_look_ahead_arbiter_6_246,146,unsat
pec_look_ahead_arbiter_6_25,478,unsat
pec_look_ahead_arbiter_6_262,336,unsat
pec_look_ahead_arbiter_6_277,322,unsat
pec_look_ahead_arbiter_6_292,997,unsat
pec_look_ahead_arbiter_6_30,348,unsat
pec_look_ahead_arbiter_6_310,518,unsat
pec_look_ahead_arbiter_6_312,251,unsat
pec_look_ahead_arbiter_6_315,190,unsat
pec_look_ahead_arbiter_6_31,424,unsat
pec_look_ahead_arbiter_6_335,777,unsat
pec_look_ahead_arbiter_6_33,319,unsat
pec_look_ahead_arbiter_6_344,271,unsat
pec_look_ahead_arbiter_6_346,140,unsat
pec_look_ahead_arbiter_6_362,265,unsat
pec_look_ahead_arbiter_6_374,475,unsat
pec_look_ahead_arbiter_6_399,171,unsat
pec_look_ahead_arbiter_6_405,1640,unsat
pec_look_ahead_arbiter_6_40,7200,timeout
pec_look_ahead_arbiter_6_415,381,unsat
pec_look_ahead_arbiter_6_422,315,unsat
pec_look_ahead_arbiter_6_435,690,unsat
pec_look_ahead_arbiter_6_448,548,unsat
pec_look_ahead_arbiter_6_459,846,unsat
pec_look_ahead_arbiter_6_464,341,unsat
pec_look_ahead_arbiter_6_466,7200,timeout
pec_look_ahead_arbiter_6_483,637,unsat
pec_look_ahead_arbiter_6_487,438,unsat
pec_look_ahead_arbiter_6_494,1224,unsat
pec_look_ahead_arbiter_6_499,581,unsat
pec_look_ahead_arbiter_6_502,7201,timeout
pec_look_ahead_arbiter_6_506,1222,unsat
pec_look_ahead_arbiter_6_526,832,unsat
pec_look_ahead_arbiter_6_535,427,unsat
pec_look_ahead_arbiter_6_541,519,unsat
pec_look_ahead_arbiter_6_545,187,unsat
pec_look_ahead_arbiter_6_561,7200,timeout
pec_look_ahead_arbiter_6_584,623,unsat
pec_look_ahead_arbiter_6_600,225,unsat
pec_look_ahead_arbiter_6_605,268,unsat
pec_look_ahead_arbiter_6_619,365,unsat
pec_look_ahead_arbiter_6_621,281,unsat
pec_look_ahead_arbiter_6_629,493,unsat
pec_look_ahead_arbiter_6_641,640,unsat
pec_look_ahead_arbiter_6_653,546,unsat
pec_look_ahead_arbiter_6_656,202,unsat
pec_look_ahead_arbiter_6_65,3234,unsat
pec_look_ahead_arbiter_6_66,371,unsat
pec_look_ahead_arbiter_6_688,75,unsat
pec_look_ahead_arbiter_6_696,642,unsat
pec_look_ahead_arbiter_6_697,1485,unsat
pec_look_ahead_arbiter_6_726,324,unsat
pec_look_ahead_arbiter_6_730,173,unsat
pec_look_ahead_arbiter_6_739,403,unsat
pec_look_ahead_arbiter_6_73,384,unsat
pec_look_ahead_arbiter_6_75,1552,unsat
pec_look_ahead_arbiter_6_763,390,unsat
pec_look_ahead_arbiter_6_774,1279,unsat
pec_look_ahead_arbiter_6_797,204,unsat
pec_look_ahead_arbiter_6_804,260,unsat
pec_look_ahead_arbiter_6_81,936,unsat
pec_look_ahead_arbiter_6_820,171,unsat
pec_look_ahead_arbiter_6_833,717,unsat
pec_look_ahead_arbiter_6_843,561,unsat
pec_look_ahead_arbiter_6_847,537,unsat
pec_look_ahead_arbiter_6_852,244,unsat
pec_look_ahead_arbiter_6_85,352,unsat
pec_look_ahead_arbiter_6_865,243,unsat
pec_look_ahead_arbiter_6_86,686,unsat
pec_look_ahead_arbiter_6_880,255,unsat
pec_look_ahead_arbiter_6_883,7200,timeout
pec_look_ahead_arbiter_6_885,751,unsat
pec_look_ahead_arbiter_6_891,218,unsat
pec_look_ahead_arbiter_6_897,1091,unsat
pec_look_ahead_arbiter_6_899,172,unsat
pec_look_ahead_arbiter_6_919,411,unsat
pec_look_ahead_arbiter_6_921,393,unsat
pec_look_ahead_arbiter_6_923,201,unsat
pec_look_ahead_arbiter_6_924,555,unsat
pec_look_ahead_arbiter_6_936,334,unsat
pec_look_ahead_arbiter_6_938,279,unsat
pec_look_ahead_arbiter_6_939,1522,unsat
pec_look_ahead_arbiter_6_956,338,unsat
pec_look_ahead_arbiter_6_95,210,unsat
pec_look_ahead_arbiter_6_967,188,unsat
pec_look_ahead_arbiter_6_979,113,unsat
pec_look_ahead_arbiter_6_984,222,unsat
pec_look_ahead_arbiter_6_987,7200,timeout
pec_look_ahead_arbiter_6_990,365,unsat
