benchmark,time(s),result
pec_10193167801488368653,17,sat
pec_10231750864638017868,20,unsat
pec_10526797367766485928,14,sat
pec_10735464799492944424,17,unsat
pec_10793167626248902360,24,sat
pec_11058286171018197364,24,unsat
pec_11114302885448104243,26,unsat
pec_11191263618033260126,24,unsat
pec_11687424399955656944,10,unsat
pec_11992619805426476325,14,unsat
pec_11999600365359243772,17,unsat
pec_12053471956927663794,18,unsat
pec_12196524202719546704,15,sat
pec_12322166117413493065,12,unsat
pec_12329148214187220288,23,unsat
pec_12371880125782714259,29,unsat
pec_12479825793371184187,21,unsat
pec_12913891884904424531,22,unsat
pec_12960647114310823913,25,unsat
pec_1299886832461944259,16,unsat
pec_13416360171538973268,20,unsat
pec_13432833198928382384,20,unsat
pec_1346843489028373056,15,unsat
pec_13899925604039575573,14,unsat
pec_14046560402030691810,18,unsat
pec_14692401832589263028,13,unsat
pec_14845701025347449649,23,sat
pec_14876255501621668037,20,unsat
pec_14887938680494057195,21,sat
pec_15110142903776672709,28,unsat
pec_15312259445442691458,15,unsat
pec_15334976797002687040,10,unsat
pec_15337918440080146742,22,unsat
pec_1543929022801212554,17,sat
pec_15841704354041671014,21,unsat
pec_16063315887830785796,22,unsat
pec_16296167823384841624,12,unsat
pec_16512072863012509235,17,sat
pec_16811603790162846541,18,unsat
pec_16906300489876726483,25,unsat
pec_16964718810837767255,22,unsat
pec_16969968146142539853,12,sat
pec_17074414724944877500,21,unsat
pec_17166935531477331155,28,sat
pec_17437263861053755265,20,unsat
pec_17495108578448916140,23,unsat
pec_17605401462997944193,17,unsat
pec_17802261138886225126,24,unsat
pec_17832480108434043982,23,sat
pec_18134161939853362343,22,unsat
pec_18421242341501438985,17,sat
pec_1972409163039986276,27,unsat
pec_2222005819497970231,16,unsat
pec_2269748722672749344,12,unsat
pec_2521053234055100887,20,unsat
pec_2834982575274392613,21,unsat
pec_3072924545608499357,19,unsat
pec_3137147973667134971,21,sat
pec_3214561134395702146,18,unsat
pec_3423988055909350257,25,sat
pec_3542879576929695938,14,unsat
pec_3808956398892765637,12,sat
pec_38613456492520898,19,unsat
pec_389666271360685610,17,unsat
pec_3931397675900529139,22,unsat
pec_4036897512602413454,18,unsat
pec_4170991360794796894,20,unsat
pec_4329765732567141793,22,sat
pec_4462612906494181822,23,unsat
pec_5034359509180967996,20,unsat
pec_5057599590562057855,16,unsat
pec_5181803052899296415,20,unsat
pec_5685698536601321483,17,unsat
pec_5995423839454048588,12,sat
pec_6025865369333037666,15,unsat
pec_6086735067533979414,21,unsat
pec_634901610118037883,19,unsat
pec_6487789924831561781,13,unsat
pec_6546879691698165089,18,unsat
pec_6694017939143801546,15,unsat
pec_7109726594793885165,24,unsat
pec_7242331066025971873,12,sat
pec_7254521221525520302,27,unsat
pec_7286123161508140988,21,unsat
pec_7308054748706872641,23,unsat
pec_7553641787680949798,14,unsat
pec_7762551828525115829,22,sat
pec_7913016407197173088,24,sat
pec_7957104216961575826,17,unsat
pec_8291408359712001852,23,unsat
pec_8299794201841737853,24,unsat
pec_8400268708425680240,23,unsat
pec_8553512470419855277,33,unsat
pec_8587356981895209365,21,unsat
pec_8755635923699710596,19,sat
pec_8903298504831297513,26,sat
pec_9172374169217641387,27,sat
pec_9192215063419488897,14,unsat
pec_9501470417842575420,13,unsat
pec_9917710157103810832,15,unsat
