benchmark,time(s),result
add10n,15,error
add10y,16,error
add12n,295,error
add12y,284,error
add14n,7200,timeout
add14y,7200,timeout
add16n,7200,timeout
add16y,7200,timeout
add18n,7200,timeout
add18y,7200,timeout
add20n,7201,timeout
add20y,7200,timeout
add2n,4,sat
add2y,3,sat
add4n,11,sat
add4y,13,sat
add6n,732,sat
add6y,748,sat
add8n,7200,timeout
add8y,7200,timeout
amba10b4unrealn,7200,timeout
amba10b4unrealy,7200,timeout
amba10b5n,7200,timeout
amba10b5y,7200,timeout
amba10c4unrealn,7201,timeout
amba10c4unrealy,7200,timeout
amba10c5n,7200,timeout
