benchmark,outputVar,timeTaken(ms)
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_30.dqdimacs,0,36
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_30.dqdimacs,21,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_30.dqdimacs,23,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_30.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_30.dqdimacs,29,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_40.dqdimacs,0,27
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_40.dqdimacs,17,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_40.dqdimacs,21,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_46.dqdimacs,0,78
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_46.dqdimacs,31,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_46.dqdimacs,36,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_82.dqdimacs,0,26
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_82.dqdimacs,19,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_82.dqdimacs,21,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_98.dqdimacs,0,40
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_98.dqdimacs,24,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_2_98.dqdimacs,25,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_0.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_0.dqdimacs,22,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_0.dqdimacs,23,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_0.dqdimacs,30,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_0.dqdimacs,31,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_10.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_10.dqdimacs,19,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_10.dqdimacs,26,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_10.dqdimacs,27,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_10.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_11.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_11.dqdimacs,18,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_11.dqdimacs,27,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_11.dqdimacs,30,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_11.dqdimacs,31,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_12.dqdimacs,0,29
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_12.dqdimacs,24,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_12.dqdimacs,27,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_12.dqdimacs,31,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_13.dqdimacs,0,26
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_13.dqdimacs,18,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_13.dqdimacs,21,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_13.dqdimacs,24,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_13.dqdimacs,25,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_14.dqdimacs,0,34
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_14.dqdimacs,19,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_14.dqdimacs,22,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_14.dqdimacs,25,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_14.dqdimacs,26,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_15.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_15.dqdimacs,24,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_15.dqdimacs,29,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_15.dqdimacs,30,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_16.dqdimacs,0,29
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_16.dqdimacs,16,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_16.dqdimacs,29,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_16.dqdimacs,34,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_17.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_17.dqdimacs,28,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_17.dqdimacs,31,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_17.dqdimacs,34,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_17.dqdimacs,35,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_18.dqdimacs,0,35
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_18.dqdimacs,24,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_18.dqdimacs,27,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_18.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_19.dqdimacs,0,27
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_19.dqdimacs,22,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_19.dqdimacs,25,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_19.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_19.dqdimacs,29,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_1.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_1.dqdimacs,21,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_1.dqdimacs,26,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_1.dqdimacs,31,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_1.dqdimacs,32,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_20.dqdimacs,0,32
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_20.dqdimacs,15,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_20.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_20.dqdimacs,29,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_20.dqdimacs,30,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_21.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_21.dqdimacs,16,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_21.dqdimacs,25,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_21.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_21.dqdimacs,29,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_22.dqdimacs,0,40
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_22.dqdimacs,27,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_22.dqdimacs,28,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_22.dqdimacs,29,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_23.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_23.dqdimacs,23,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_23.dqdimacs,29,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_23.dqdimacs,32,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_23.dqdimacs,33,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_24.dqdimacs,0,27
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_24.dqdimacs,16,9
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_24.dqdimacs,17,9
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_24.dqdimacs,20,9
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_24.dqdimacs,23,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_25.dqdimacs,0,29
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_25.dqdimacs,21,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_25.dqdimacs,24,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_25.dqdimacs,31,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_25.dqdimacs,32,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_26.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_26.dqdimacs,20,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_26.dqdimacs,27,9
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_26.dqdimacs,28,9
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_27.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_27.dqdimacs,18,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_27.dqdimacs,21,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_27.dqdimacs,24,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_27.dqdimacs,25,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_28.dqdimacs,0,29
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_28.dqdimacs,27,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_28.dqdimacs,28,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_28.dqdimacs,29,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_29.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_29.dqdimacs,18,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_29.dqdimacs,21,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_29.dqdimacs,24,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_29.dqdimacs,29,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_2.dqdimacs,0,28
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_2.dqdimacs,18,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_2.dqdimacs,23,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_2.dqdimacs,26,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_2.dqdimacs,27,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_30.dqdimacs,0,29
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_30.dqdimacs,20,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_30.dqdimacs,27,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_30.dqdimacs,30,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_31.dqdimacs,0,31
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_31.dqdimacs,23,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_31.dqdimacs,26,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_31.dqdimacs,27,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_31.dqdimacs,28,7
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_32.dqdimacs,0,32
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_32.dqdimacs,25,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_32.dqdimacs,30,8
./benchmark_tests/afterhqspre/PEC1/pec_adder_3_bit_4_32.dqdimacs,31,7
