benchmark,time(s),result
battleship-10-10-unsat.cnf,85,unsat
battleship-10-17-sat.cnf,797,sat
battleship-10-19-sat.cnf,461,sat
battleship-11-11-unsat.cnf,818,unsat
battleship-11-21-sat.cnf,2859,sat
battleship-12-12-unsat.cnf,1205,unsat
battleship-13-13-unsat.cnf,7200,timeout
battleship-5-8-unsat.cnf,3,unsat
battleship-6-9-unsat.cnf,10,unsat
battleship-7-12-unsat.cnf,1166,unsat
crn_11_100_s.cnf,278,sat
crn_11_99_u.cnf,286,unsat
eulcbip-7-UNSAT.shuffled-as.sat05-3936.cnf,7200,timeout
f600.shuffled.cnf,7200,timeout
hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf,3954,unsat
lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,3954,sat
marg3x3add8ch.shuffled-as.sat03-1448.cnf,48,unsat
marg3x3add8.shuffled-as.sat03-1449.cnf,19,unsat
mm-2x2-6-6-s.1.shuffled-as.sat03-1499.cnf,2337,unsat
mod2-rand3bip-sat-270-1.shuffled-as.sat05-2248.cnf,7200,timeout
php-010-008.shuffled-as.sat05-1171.cnf,6,unsat
sgen3-n120-s12930489-sat.cnf,19,sat
sgen3-n140-s18527668-sat.cnf,718,sat
sgen3-n160-s40283905-sat.cnf,6704,sat
sgen3-n180-s34713902-sat.cnf,7200,timeout
sgen3-n200-s39840374-sat.cnf,7200,timeout
sgen3-n220-s24359701-sat.cnf,7200,timeout
sgen3-n240-s78945233-sat.cnf,7200,timeout
sgen3-n260-s62321009-sat.cnf,7200,timeout
sgen3-n280-s93756482-sat.cnf,7200,timeout
sgen3-n300-s12830984-sat.cnf,7200,timeout
urquhart3_25bis.shuffled.cnf,22,unsat
x1_40.shuffled.cnf,62,unsat
x1_80.shuffled.cnf,7200,timeout
