benchmark,time(s),result
pec_adder_3_bit_4_0,38,sat
pec_adder_3_bit_4_10,8,unsat
pec_adder_3_bit_4_11,11,unsat
pec_adder_3_bit_4_12,17,unsat
pec_adder_3_bit_4_13,7,error
pec_adder_3_bit_4_14,9,unsat
pec_adder_3_bit_4_15,19,unsat
pec_adder_3_bit_4_16,9,error
pec_adder_3_bit_4_17,18,unsat
pec_adder_3_bit_4_18,10,unsat
pec_adder_3_bit_4_19,10,unsat
pec_adder_3_bit_4_1,11,unsat
pec_adder_3_bit_4_20,10,error
pec_adder_3_bit_4_21,9,unsat
pec_adder_3_bit_4_22,12,unsat
pec_adder_3_bit_4_23,9,unsat
pec_adder_3_bit_4_24,5,unsat
pec_adder_3_bit_4_25,13,unsat
pec_adder_3_bit_4_26,18,unsat
pec_adder_3_bit_4_27,6,unsat
pec_adder_3_bit_4_28,15,unsat
pec_adder_3_bit_4_29,31,sat
pec_adder_3_bit_4_2,259,sat
pec_adder_3_bit_4_30,14,unsat
pec_adder_3_bit_4_31,9,unsat
pec_adder_3_bit_4_32,12,unsat
pec_adder_3_bit_4_33,9,unsat
pec_adder_3_bit_4_34,13,unsat
pec_adder_3_bit_4_35,13,unsat
pec_adder_3_bit_4_36,8,unsat
pec_adder_3_bit_4_37,7,unsat
pec_adder_3_bit_4_38,10,unsat
pec_adder_3_bit_4_39,7,unsat
pec_adder_3_bit_4_3,11,unsat
pec_adder_3_bit_4_40,13,unsat
pec_adder_3_bit_4_41,6,unsat
pec_adder_3_bit_4_42,13,unsat
pec_adder_3_bit_4_43,11,unsat
pec_adder_3_bit_4_44,9,unsat
pec_adder_3_bit_4_45,25,unsat
pec_adder_3_bit_4_46,9,unsat
pec_adder_3_bit_4_47,7,unsat
pec_adder_3_bit_4_48,17,unsat
pec_adder_3_bit_4_49,8,unsat
pec_adder_3_bit_4_4,6,unsat
pec_adder_3_bit_4_50,14,unsat
pec_adder_3_bit_4_51,8,unsat
pec_adder_3_bit_4_52,9,unsat
pec_adder_3_bit_4_53,11,unsat
pec_adder_3_bit_4_54,8,unsat
pec_adder_3_bit_4_55,81,sat
pec_adder_3_bit_4_56,8,unsat
pec_adder_3_bit_4_57,8,unsat
pec_adder_3_bit_4_58,53,sat
pec_adder_3_bit_4_59,15,unsat
pec_adder_3_bit_4_5,5,unsat
pec_adder_3_bit_4_60,9,unsat
pec_adder_3_bit_4_61,10,unsat
pec_adder_3_bit_4_62,11,unsat
pec_adder_3_bit_4_63,11,unsat
pec_adder_3_bit_4_64,12,unsat
pec_adder_3_bit_4_65,13,unsat
pec_adder_3_bit_4_66,158,sat
pec_adder_3_bit_4_67,8,unsat
pec_adder_3_bit_4_68,14,unsat
pec_adder_3_bit_4_69,14,unsat
pec_adder_3_bit_4_6,13,unsat
pec_adder_3_bit_4_70,10,unsat
pec_adder_3_bit_4_71,14,unsat
pec_adder_3_bit_4_72,12,unsat
pec_adder_3_bit_4_73,15,unsat
pec_adder_3_bit_4_74,20,sat
pec_adder_3_bit_4_75,10,unsat
pec_adder_3_bit_4_76,8,unsat
pec_adder_3_bit_4_77,8,unsat
pec_adder_3_bit_4_78,21,unsat
pec_adder_3_bit_4_79,34,sat
pec_adder_3_bit_4_7,9,unsat
pec_adder_3_bit_4_80,14,sat
pec_adder_3_bit_4_81,15,unsat
pec_adder_3_bit_4_82,11,unsat
pec_adder_3_bit_4_83,5,unsat
pec_adder_3_bit_4_84,10,unsat
pec_adder_3_bit_4_85,8,unsat
pec_adder_3_bit_4_86,9,unsat
pec_adder_3_bit_4_87,12,unsat
pec_adder_3_bit_4_88,7,unsat
pec_adder_3_bit_4_89,10,unsat
pec_adder_3_bit_4_8,12,unsat
pec_adder_3_bit_4_90,11,unsat
pec_adder_3_bit_4_91,5,unsat
pec_adder_3_bit_4_92,17,sat
pec_adder_3_bit_4_93,11,unsat
pec_adder_3_bit_4_94,8,unsat
pec_adder_3_bit_4_95,6,unsat
pec_adder_3_bit_4_96,166,sat
pec_adder_3_bit_4_97,10,unsat
pec_adder_3_bit_4_98,8,unsat
pec_adder_3_bit_4_99,9,unsat
pec_adder_3_bit_4_9,11,unsat
