benchmark,time(s),result
pec_bit_cell_arbiter_4_11,33,unsat
pec_bit_cell_arbiter_4_120,7200,timeout
pec_bit_cell_arbiter_4_121,13,unsat
pec_bit_cell_arbiter_4_138,30,unsat
pec_bit_cell_arbiter_4_151,47,unsat
pec_bit_cell_arbiter_4_154,19,unsat
pec_bit_cell_arbiter_4_159,14,unsat
pec_bit_cell_arbiter_4_170,18,unsat
pec_bit_cell_arbiter_4_172,35,unsat
pec_bit_cell_arbiter_4_177,49,unsat
pec_bit_cell_arbiter_4_184,31,unsat
pec_bit_cell_arbiter_4_189,58,unsat
pec_bit_cell_arbiter_4_19,79,unsat
pec_bit_cell_arbiter_4_208,29,unsat
pec_bit_cell_arbiter_4_215,27,unsat
pec_bit_cell_arbiter_4_216,102,unsat
pec_bit_cell_arbiter_4_227,19,unsat
pec_bit_cell_arbiter_4_232,37,unsat
pec_bit_cell_arbiter_4_233,53,unsat
pec_bit_cell_arbiter_4_245,16,unsat
pec_bit_cell_arbiter_4_249,46,unsat
pec_bit_cell_arbiter_4_258,29,unsat
pec_bit_cell_arbiter_4_282,52,unsat
pec_bit_cell_arbiter_4_296,9,unsat
pec_bit_cell_arbiter_4_299,41,unsat
pec_bit_cell_arbiter_4_302,35,unsat
pec_bit_cell_arbiter_4_308,23,unsat
pec_bit_cell_arbiter_4_313,66,unsat
pec_bit_cell_arbiter_4_316,52,unsat
pec_bit_cell_arbiter_4_325,78,unsat
pec_bit_cell_arbiter_4_327,107,unsat
pec_bit_cell_arbiter_4_346,90,unsat
pec_bit_cell_arbiter_4_34,28,unsat
pec_bit_cell_arbiter_4_351,15,unsat
pec_bit_cell_arbiter_4_358,10,unsat
pec_bit_cell_arbiter_4_359,23,unsat
pec_bit_cell_arbiter_4_375,19,unsat
pec_bit_cell_arbiter_4_395,73,unsat
pec_bit_cell_arbiter_4_401,55,unsat
pec_bit_cell_arbiter_4_414,20,unsat
pec_bit_cell_arbiter_4_416,12,unsat
pec_bit_cell_arbiter_4_433,7200,timeout
pec_bit_cell_arbiter_4_454,23,unsat
pec_bit_cell_arbiter_4_458,15,unsat
pec_bit_cell_arbiter_4_459,29,unsat
pec_bit_cell_arbiter_4_470,15,unsat
pec_bit_cell_arbiter_4_483,61,unsat
pec_bit_cell_arbiter_4_49,20,unsat
pec_bit_cell_arbiter_4_509,24,unsat
pec_bit_cell_arbiter_4_512,52,unsat
pec_bit_cell_arbiter_4_520,51,unsat
pec_bit_cell_arbiter_4_526,19,unsat
pec_bit_cell_arbiter_4_532,27,unsat
pec_bit_cell_arbiter_4_551,13,unsat
pec_bit_cell_arbiter_4_559,80,unsat
pec_bit_cell_arbiter_4_564,56,unsat
pec_bit_cell_arbiter_4_565,22,unsat
pec_bit_cell_arbiter_4_573,35,unsat
pec_bit_cell_arbiter_4_581,23,unsat
pec_bit_cell_arbiter_4_584,31,unsat
pec_bit_cell_arbiter_4_585,30,unsat
pec_bit_cell_arbiter_4_589,46,unsat
pec_bit_cell_arbiter_4_598,26,unsat
pec_bit_cell_arbiter_4_617,15,unsat
pec_bit_cell_arbiter_4_648,39,unsat
pec_bit_cell_arbiter_4_658,28,unsat
pec_bit_cell_arbiter_4_675,13,unsat
pec_bit_cell_arbiter_4_678,42,unsat
pec_bit_cell_arbiter_4_694,18,unsat
pec_bit_cell_arbiter_4_697,28,unsat
pec_bit_cell_arbiter_4_705,24,unsat
pec_bit_cell_arbiter_4_718,32,unsat
pec_bit_cell_arbiter_4_722,8,unsat
pec_bit_cell_arbiter_4_723,46,unsat
pec_bit_cell_arbiter_4_724,68,unsat
pec_bit_cell_arbiter_4_745,19,unsat
pec_bit_cell_arbiter_4_747,50,unsat
pec_bit_cell_arbiter_4_765,30,unsat
pec_bit_cell_arbiter_4_766,98,unsat
pec_bit_cell_arbiter_4_807,21,unsat
pec_bit_cell_arbiter_4_80,37,unsat
pec_bit_cell_arbiter_4_81,45,unsat
pec_bit_cell_arbiter_4_820,19,unsat
pec_bit_cell_arbiter_4_836,21,unsat
pec_bit_cell_arbiter_4_838,16,unsat
pec_bit_cell_arbiter_4_846,45,unsat
pec_bit_cell_arbiter_4_853,67,unsat
pec_bit_cell_arbiter_4_87,31,unsat
pec_bit_cell_arbiter_4_884,20,unsat
pec_bit_cell_arbiter_4_892,25,unsat
pec_bit_cell_arbiter_4_8,60,unsat
pec_bit_cell_arbiter_4_903,21,unsat
pec_bit_cell_arbiter_4_905,47,unsat
pec_bit_cell_arbiter_4_916,26,unsat
pec_bit_cell_arbiter_4_926,32,unsat
pec_bit_cell_arbiter_4_927,28,unsat
pec_bit_cell_arbiter_4_943,17,unsat
pec_bit_cell_arbiter_4_948,72,unsat
pec_bit_cell_arbiter_4_953,39,unsat
pec_bit_cell_arbiter_4_996,49,unsat
