benchmark,time(s),result
pec_101112473665308658612266583734618210159766367990764472290822982753116646148254,1430,unsat
pec_102619082630227261326800775008084329675457665020895100347380327840429853751799,1459,unsat
pec_103363990918088548925192957157952032568747282346659280796310826246163583733777,1382,unsat
pec_103817791919481553166222454327802850473863198224494009913827511594115653884904,2255,unsat
pec_104748674629209826957554054614316084600886465999331952151979993737675281573962,2166,unsat
pec_105694422806624460878534247324695709694090076874213256610683574145736000933164,1274,unsat
pec_106472929270869182621312945894608220365250505891628643465353385724864987702201,1526,unsat
pec_107041512228158400440948628567177736162613970604985672025251323190009053393207,1408,unsat
pec_10717409910729128705213541914536931885377329841570750988149251090941549766830,2179,unsat
pec_107760411709336700527426702456282672470790288671319811536493728078621254074519,1904,unsat
pec_108381903131153826545590284445372832590336773003352835919512192670799399230071,3172,unsat
pec_109134999368977841266346501372060790845890140054048977288327159604359552130599,2438,unsat
pec_109185288859193128717030508938104036569562010909170420387912062353279959222237,1294,unsat
pec_109697307813022003532793082791798742268922546689434221196229981700400897516887,972,unsat
pec_110431361915044319686357824521717677581627834240336012571571377619609242064662,1737,unsat
pec_110877283390350449564081735413392290701153841777732778704367260788839865659567,1606,unsat
pec_111077991678690232832876591115468158614883438129395381409041199265160642767185,2051,unsat
pec_111568599632700534958180403538079922503475174526814723784779788190905809213691,3066,unsat
pec_112274982060166637908926251480900526223888195981446468906939199884088774938209,2019,unsat
pec_114906296908912403426492504146653602753187222616399280622895563994250826730632,2588,unsat
pec_115279630973381109003140748276547509072617491355246957880036423630764650738066,2351,unsat
pec_115442463186450010029417828049087195229855532629910222609207063367219606139242,1537,unsat
pec_115470775256679563780549345432164530059603443356736283221734850862256295867020,1421,unsat
pec_13136958362904081039659499602211793970058754043532631640072571224550598836084,1326,unsat
pec_14733681377068113425389184570300091683227682478096072043682609657443207286913,1234,unsat
pec_15276049723106622716290095330815312804209209410018579398703868585252557744200,1448,unsat
pec_16192324740449399460468881764557300656590878977439226507284381127458014981712,2193,unsat
pec_16405035179759484600920455307861148465119848757269480719052850762380355245647,1314,unsat
pec_17715444428586747220886065604190278034817870246606001245150574460550620677113,1203,unsat
pec_18591376891227320307832886830828576941156466202727324378321382770056625030402,1467,unsat
pec_22898963878120240420802770509898855918124895568490287849038944603647733417974,2094,unsat
pec_23405945790025460942880392763989291636115285005765320176816970756251241645873,2221,sat
pec_24376654511695830792726632105511843625192658248949539709180992743470036466153,1191,unsat
pec_2738876971187309926335029107924209527337261512288371078876928323419865881992,1552,unsat
pec_29357292434519829978455666871696303350579664010491673763414690597283462478336,1185,unsat
pec_29455098056875434314968016273469837731943304239077525610358807165814830340353,1825,unsat
pec_30454644899704417788838452399109518702872399791663634033733815877615014037435,2312,unsat
pec_32090667875045696958293757058885499260143513854095472472910213092703811825769,1679,unsat
pec_33542643885442631481896541805996200346192334711324702775201899251056585169852,1810,unsat
pec_34592430229596099361128952108697355451072026993003722453122200743655704748218,1439,unsat
pec_3495760042832426906196196377792989720601468392054642714576838784658249633626,1471,unsat
pec_37336772729407221434739504011378593935923561084962194127797920718531319560993,2056,unsat
pec_40315939262412331941785204911151525026349678921785286740926369010334046951820,1401,unsat
pec_4248794197511755801886587861444944187869713120607528250657586713977385359354,1548,unsat
pec_43361629448842066140668506643845644368278481615784681308311121139787027878754,1069,unsat
pec_45312367199424970186276961272573858042444741201923144165109591317851410235684,1460,unsat
pec_47980028528509716741212058400533351776988825902348164019078006382474831098862,1735,unsat
pec_48578216301651272512115212476751113045354357203322685177357723112303012912923,1647,unsat
pec_48877922688648975839849680646381405305813815666464171903201214410397405385366,1107,unsat
pec_4889622057245653013520871928074679968183232226130906313479796445772184006733,2318,unsat
pec_56300798726517891353898099067005849734499157620187446742061214425435107008243,1664,unsat
pec_56377062052384745420593489224763448164420940960757401495365027858009255101881,1130,unsat
pec_57754630331755583852325959600347035207066568413541427986271592316140926408391,3137,unsat
pec_58786686727403849282642136036628374513957406471383068998736203391332928689127,1315,unsat
pec_59026655094510894278985745261526542325407489930794376988015931547904416411872,2035,unsat
pec_59401550160880234371230502434667755633766352905243751907008763244569962634231,1517,unsat
pec_59983942473772513942974013605978396584666554736310375239713927771511900172910,1918,unsat
pec_60321451570297070124974615898072062311398311871585596622646583196341527880777,1590,unsat
pec_60672579838814152229606351268709726929920753936428992296614996524126761736124,1503,unsat
pec_61506230132168353201015567267574295839146005530948345741008450624686966326762,1269,unsat
pec_63767451906272502878892292862434384841194967982187996771162229375105923977904,1117,unsat
pec_64054751975093249092437149795811532627777197005973454481131362856460644355464,2316,unsat
pec_66016352585049459713423660329525129448599736699479444573399832103314029386775,1682,unsat
pec_66058240928208503669741974800477344761718015797679314435899874996840348392159,2795,unsat
pec_67328702595348546275221581752561144130598958188573711630845860496455834129692,1721,unsat
pec_6808044736464727852210485556679993314436667560857742564354509510975106868631,1526,unsat
pec_70437785286413683837131287220181080989694140169812121109814837781957768574453,2345,unsat
pec_70892044300313536513278203406392725357129310587143875449614613207036500633459,2153,unsat
pec_71376670420953700688664912867201383125688660701986141057831226631661719183458,1802,unsat
pec_716008677930389458308577371768962864699574139376026523670644763673681543566,1483,unsat
pec_71870371387852433866036109727648476058044265567427165167271040964014576146351,1283,unsat
pec_72007148523904638462502581057935599501475945065005631062099017127903905434132,2259,unsat
