benchmark,time(s),result
C432.blif_0.10_0.10_0_0_henkin,7201,timeout
C432.blif_0.10_0.10_0_1_henkin,7200,timeout
C432.blif_0.10_0.10_0_2_henkin,7200,timeout
C432.blif_0.10_0.10_0_3_henkin,7200,timeout
C432.blif_0.10_0.10_1_0_henkin,7205,timeout
C432.blif_0.10_0.10_1_1_henkin,7208,timeout
C432.blif_0.10_0.10_1_2_henkin,7202,timeout
C432.blif_0.10_0.10_1_3_henkin,7200,timeout
C432.blif_0.10_0.10_2_0_henkin,7201,timeout
C432.blif_0.10_0.10_2_1_henkin,7201,timeout
C432.blif_0.10_0.10_2_2_henkin,7202,timeout
C432.blif_0.10_0.10_2_3_henkin,7200,timeout
C432.blif_0.10_0.20_0_0_henkin,7203,timeout
C432.blif_0.10_0.20_0_1_henkin,7200,timeout
C432.blif_0.10_0.20_0_2_henkin,7200,timeout
C432.blif_0.10_0.20_0_3_henkin,7200,timeout
C432.blif_0.10_0.20_1_0_henkin,7200,timeout
C432.blif_0.10_0.20_1_1_henkin,7200,timeout
C432.blif_0.10_0.20_1_2_henkin,7202,timeout
C432.blif_0.10_0.20_1_3_henkin,7203,timeout
C432.blif_0.10_0.20_2_0_henkin,7201,timeout
C432.blif_0.10_0.20_2_1_henkin,7201,timeout
C432.blif_0.10_0.20_2_2_henkin,7200,timeout
C432.blif_0.10_0.20_2_3_henkin,7201,timeout
C432.blif_0.10_0.50_0_0_henkin,7204,timeout
